Entity,Type
యెహోవా,Person
భారత్‌,Organization
గంగా,Location
విద్యార్థులు,Person
పద్మినీ,Person
రతి,Person
ఓకే,Person
సంఘటన,Event
వి. వి. వినాయక్,Person
వాతావరణ శాఖ,Organization
హైదరాబాద్,Location
మమ్ముట్టి,Person
కోకాకోలా,Product
బీబీసీ,Organization
వీరి,Person
మరణానికి,Event
పిల్లాడి,Person
నరేంద్రమోదీ,Person
గంగ్వార్,Person
భారత ప్రభుత్వం,Organization
సంఘటనలు,Event
రెడ్మీ,Person
నోట్ 4,Product
పారుపల్లి కశ్యప్‌,Person
కొరియా ఓపెన్‌,Organization
ఆయన,Person
International Yoga Day,Event
ఫాక్స్,Organization
కార్బన్ ఫైబర్,Product
ఆయన,Person
ఈ పాటకు సంబందించిన టీజర్ని,Person
ప్రధాని నరేంద్ర మోడీ,Person
చలపతి,Person
అది,Person
2021జనవరి 31,Event
ఇశ్రాయేలు,Organization
ప్రాథమిక తెలుగు మాధ్యమిక పాఠశాలలు,Organization
ఎలా జిగురు,Person
గ్రౌట్,Organization
బస్టేషన్లు,Organization
రైల్వే,Organization
స్కూలు,Location
ఆఫీసు,Location
కోర్టుల్లో,Location
మార్కెట్టు,Location
పశ్చిమ,Location
భూపేంద్ర కుమార్ దత్త్,Person
రాజ్యాంగం,Organization
రాజ్యాంగ పరిషత్తు,Organization
గంగూలీ,Person
ఆస్పత్రి,Organization
ఆయన,Person
పోలీసులు,Organization
కాబట్టి,Person
ట్రాన్స్మిషన్,Product
డిజీల్,Organization
ఢిల్లీ,Location
నేషనల్ కౌన్సిల్,Organization
1993,Event
రాజ్‌నాథ్,Person
రాహుల్ గాంధీ,Person
కార్యాలయం,Organization
షోరూమ్‌లు,Organization
జంతుశాల అధికారులు,Person
జాన్,Person
జంతుశాల,Organization
పోలీసులు,Person
అవాంచనీయ సంఘటనలు,Event
ఆమె,Person
పోలీసులు,Organization
ఆత్మహత్య,Event
మిక్కీ జె మేయర్,Person
తమన్,Person
కెసిఆర్,Person
రేణుకా చౌదరి,Person
కాంగ్రెస్,Organization
తెలంగాణ,Organization
హైద‌రాబాద్,Location
మృతుల్లో,Person
ఎక్కడికీ,Location
ఆయన,Person
నందమూరి,Person
మనందరి,Person
సునీల్ అరోరా,Person
ప్రధాన ఎన్నికల కమిషనర్,Organization
ముఖ్య‌మైన,Event
సరిగా,Person
ముంబై,Location
లీటర్ పెట్రోల్,Product
ముస్తాబై,Person
అరెస్ట్,Person
కేసు,Event
ఆమె,Person
బీహార్ పోలీసులు,Organization
బీహార్,Location
ప్రభుత్వ యంత్రాంగం,Organization
నిన్న,Person
అన్-లాక్1,Organization
రాష్టాలు,Location
కేంద్రపాలిత ప్రాంతాల,Location
అనుభవాల,Event
టేబుల్,Product
రిలయన్స్ ఇండస్ట్రీస్,Organization
రిలయన్స్ రిటైల్,Organization
ముంబై,Location
అమీర్ ఖాన్,Person
ఇన్‌క్రెడిబుల్ ఇండియా,Organization
పోలీసులు,Person
పోలీసులు,Organization
ఘటన,Event
