Entity,Type
शरद पवार,Person
प्रफुल्ल पटेल,Person
अजित पवार,Person
छगन भुजबळ,Person
मधुकरराव पिचड,Person
आर. आर. पाटील,Person
सुनिल तटकरे,Person
भास्कर जाधव,Person
जितेंद्र आव्हाड,Person
कंवलसिंग चौहान,Person
प्रगतीशील शेतकरी संघटना,Organization
सेनीपत,Location
त्यांचा,Person
भारत,Organization
भारत,Location
मृत्यू,Event
छायाचित्रकार,Person
राज्य,Location
राष्ट्रीय पातळ,Location
पीडित व्यक्ती,Person
दलित समाज,Organization
घटनांत,Event
काँग्रेस,Organization
धक्का,Event
नितीन गडकरी,Person
एमएसएमई,Organization
केंद्र सरकार,Organization
मालवाहू ठिकाण,Location
रॅक्स,Product
सिंधू,Person
समीर,Person
ऑस्ट्रेलियन ओपन,Organization
ऑस्ट्रेलियन ओपन,Event
मला,Person
माझ्या समुपदेशकांची,Person
नैराश्याचा सामना,Event
आठवले,Person
त्याच,Person
न्यायालय,Organization
पोलिस,Organization
मार्गावार,Location
विसर्जन मिरवणूक,Event
सर्व जण,Person
काम,Event
जामीनावर,Location
इमारत,Location
खिडक्यांच्या काचा,Product
आणखी,Location
न्यूझीलंड,Organization
ती,Location
शिक्षक,Person
डॉक्टर,Person
बुलडाणा जिल्ह्या,Location
खामगाव,Location
व्यक्ती,Person
डॉक्टरांनी,Person
तपासणी,Event
तर,Person
जण,Person
पोलीस,Organization
रेस्क्यू टीम,Organization
घटनास्थळी,Location
आणि,Event
शहरात,Location
डेंग्यूचाही,Event
पवार,Person
पत्रकार परिषद,Organization
विधानभवन,Organization
येथे,Location
यहोवा,Person
निर्ग,Location
नात्सी,Person
यहोवा,Person
छळ छावण्यां,Location
तात्काळ,Person
पोलिसांनी,Organization
रुग्णालय,Location
तात्काळ स्थानिक,Location
एएनआय,Organization
या भागात,Location
चकमक सुरू,Event
पोलис,Organization
प्रश्न,Event
शैलजा मोरे,Person
भाजप,Organization
मात्र,Person
पंतप्रधान मोदी,Person
विराट कोहली,Person
टीम इंडिया,Organization
रॅंकिंग,Event
आले-लसणाची पेस्ट,Product
कंपनी,Organization
गडहिंग्लज,Location
चंदगड,Location
एइनापूर,Location
त्याच्या,Person
युद्धाला,Event
याप्रकरणी,Organization
सहकार,Organization
पोलीस,Organization
ठाण्यात,Organization
सहकारनगर,Location
ठाण्यात,Location
देव,Person
राज्य,Organization
द्रौपदी मुरमू,Person
जयंत सिन्हा,Person
रघुवर दास,Person
झारखंड,Location
देव,Person
ब्रायन लारा,Person
रिचर्डस्,Person
कोहली,Person
सैफखेरीज,Person
सोनाक्षी सिन्हा,Person
तरीसुद्धा,Person
सार्वभौम,Organization
महमद नाशीद,Person
मालदीव,Organization
भारत,Location
मालदीव,Location
जण,Person
जिल्ह,Location
मृत्यू,Event
स्वाईन फ्लून,Product
मला,Person
समुद्र,Location
हा नियम,Organization
गाव,Location
मुंबई,Location
लंडन,Location
 कार्यशाळा,Event
 व्याख्यान,Event
चंकी पांडेक,Person
अनन्या पांडे,Person
तारा सुतारिया,Person
अंकिता,Person
राकीमोव्हा,Person
अनास्थाशिया पोटापोव्हा,Person
ऍना ब्लिन्कोव्हा,Person
रशिय,Location
देश,Location
कोकण,Location
गोव्यात,Location
मध्य महाराष्ट्रात,Location
मराठवाड्यात,Location
विदर्भात,Location
पाऊस,Event
सिरिल,Person
मेथोडियस,Person
रोम,Location
कोल्हापूर,Location
सांगली,Location
एडिसन,Person
टरबूज,Product
काकडी,Product
कलिंगड,Product
आहार,Product
देश,Location
लॉकडाऊन,Event
कोरोना व्हायरस,Product
हा,Person
सोशल मीडिया,Organization
तुफान,Event
आप्न,Person
नarendra modi,Person
भाजपा,Organization
आव्हाने,Event
भूकंप,Event
भूकंप मापन यंत्र,Product
स्टुडिओमधल्या एका एक्स्ट्रा,Person
बर्लिन,Location
तुम्हाला,Person
संजय राऊत,Person
शिवसेना,Organization
षक स्पर्धा,Event
त्याचा,Person
मृत्यु,Event
जागा,Location
अगोदरपासून,Event
स्टीव्ह स्मिथ,Person
विराट,Person
सरकार,Organization
सुनावणी,Event
त्यांच्याशी,Person
डिनरला,Product
तिने,Person
चौकशी,Event
तेजपाल,Person
"वास्को, येथील",Location
साडा,Product
केरळ,Location
घटना,Event
तव्य,Product
तान्ह्या मुलां,Person
बालके,Person
भाकरी,Product
पाछा,Person
पोलिस,Organization
ईद,Event
आर्थिक,Organization
वाटप सुरू करण्यात आले,Event
सचिन पायलट,Person
गेहलोत,Person
पराभव,Event
पोलाद केंद्रीय राज्यमंत्री,Person
विष्णूदेव साई,Person
भारत पोलाद,Organization
भारत पोलाद परिषद,Organization
मुंबई,Location
भारत पोलाद 2019 परिषद,Event
पोलाद,Product
शेतकऱ्यांचा,Person
येथील,Location
अवती,Person
उद्रेक,Event
अक्षय कुमार,Person
ट्विटर,Organization
सूर्यवंशी,Event
ट्विटर,Product
वायूसेन,Organization
प्रदर्शन,Event
राफेल,Product
तेजस,Product
लाढाऊ विमान,Product
हेलिकॉप्टर,Product
आकाश मिसाईल प्रणाली,Product
अस्त्र मिसाईल,Product
Smartphone,Product
Fast charging,Product
आपण,Location
याकोबा,Person
एसाव,Person
एल बेथेल,Location
सामाजिक क्रांती,Event
India,Location
today's,Event
भाजप,Organization
आलिया,Person
रणबीर,Person
जण,Person
कंपनी,Organization
चीन,Location
स्फोट,Event
पोलीस,Person
नियंत्रण मिळवण्यासाठी,Event
ती,Person
बांगलादेश मुक्ति आंदोलन,Event
16 जण,Person
आगीचा,Location
भडका,Event
तुझे वडील,Person
तू,Person
त्या,Person
शासन,Person
शासन,Organization
बीसीसीआय,Organization
नागरिक,Person
राहुल गांधी,Person
घणाघात,Event
त्यांनी,Person
 परमेश्वर,Organization
मेंढ्या,Product
माउस,Product
ते,Person
घरी,Location
विजय वडेट्टीवार,Person
भारत,Location
ऑस्ट्रेलिया,Location
स्पर्धेत,Event
केस,Person
पंतप्रधान,Person
डॉक्टर,Person
याशिवाय,Location
लहाणपणापासून,Location
हा,Person
आपण,Organization
इथे,Location
महिलां,Person
पुरुषां,Person
शरद पवार,Person
तसंच काँग्रेस,Organization
प्रत्येक,Person
राजकारण,Organization
2011 साली,Event
बोगद्याचे काम,Product
पाच महिला,Person
एका पुरुष,Person
त्यानंतर,Person
वक्तव्य,Event
विरोधक,Person
भाजप,Organization
हवामान विभाग,Organization
ठिकाणी,Location
अतिवृष्टी,Event
निकाल,Person
सर्वसंमती,Organization
अयोध्या,Location
खटला,Event
दिल्ली,Location
सुरक्षेचा यावेळी,Event
भारतीय क्रिकेट,Organization
ऐतिहासिक क्षण,Event
भाजप,Organization
सरकार,Event
तसंच,Person
सर्व नेते,Person
भाजप,Organization
イク्बालसिंग चहल,Person
महापालिका,Organization
मुंबई,Location
गुरबाजने,Person
अफगाण,Organization
आपण,Location
रणवीर सिंग,Person
दीपिका पदुकोण,Person
तिने,Person
फिल्म अ‍ॅण्ड टेलिव्हिजन इन्स्टिट्युट ऑफ इंडिया,Organization
एफटीआयआय,Organization
पुण्या,Location
सर्व भारतीयांना,Person
भारत,Location
ओळखपत्र,Product
नोंदणी कार्ड,Product
रास्तारोका,Location
आंदोलन,Event
user,Organization
त्यां,Person
पशू,Product
एक कोण,Person
आई,Person
चिंता करितो,Person
विश्व,Location
माझी बहीण,Person
आता,Person
ऒस्ट्रेलिया,Organization
स्कॉटलंड,Location
इंग्लंड,Location
कामगिरी,Event
सरकार,Person
संस्थात्मक,Organization
तग्नरूण,Person
पोलिस,Person
तपास,Event
पोलिसा,Organization
पोहचले,Event
,Person
,Organization
त्यांचे,Person
कामाकडे,Organization
बोचऱ्या थंडीचा कडाकाही,Product
टॉमने,Person
मेरी,Person
टोमॅटो,Product
पोलीस उपनिरीक्षक निमगीरे,Person
रेल्वे,Organization
माझ्या देश,Location
रेल्वेच्या तिकिट,Product
पोलिस,Person
पोलिस,Organization
आंदोलक,Event
अशा बाबींशी,Person
उद्धव ठाकरे,Person
फडनवीस,Person
गडकरी,Person
कंगना,Person
आदित्य पांचолі,Person
दीपक शिर्के,Person
जय,Person
आयुष्य,Event
हिमालय,Location
अँडीज,Location
उत्क्षेपांमुळे,Event
हालचาลींमुळे,Event
त्याची,Person
हिंदुस्थान,Location
पाकिस्तान,Location
तुम्हाला,Person
मी,Person
निर्णय,Person
काँग्रेस,Organization
गांगुली,Person
शर्यत,Event
सैतान,Person
देव,Organization
माधुरी दीक्षित,Person
करण जोहर,Person
नेटफ्लिक्स,Organization
ऐक,Person
भाजप,Organization
राष्ट्रपती रामनाथ कोविंद,Person
संसद,Organization
अर्थसंकल्पीय अधिवेशन,Event
महाराज,Person
