Word,Tag
యెహోవా,B-PER
భారత్‌,B-ORG
గంగా,B-LOC
విద్యార్థులు,B-PER
పద్మినీ,B-PER
రతి,B-PER
ఓకే,B-PER
సంఘటన,B-EVT
వి.,B-PER
వి.,I-PER
వినాయక్,I-PER
వాతావరణ,B-ORG
శాఖ,I-ORG
హైదరాబాద్,B-LOC
మమ్ముట్టి,B-PER
కోకాకోలా,B-PROD
బీబీసీ,B-ORG
వీరి,B-PER
మరణానికి,B-EVT
పిల్లాడి,B-PER
నరేంద్రమోదీ,B-PER
గంగ్వార్,B-PER
భారత,B-ORG
ప్రభుత్వం,I-ORG
సంఘటనలు,B-EVT
రెడ్మీ,B-PER
నోట్ 4,B-PROD
పారుపల్లి,B-PER
కశ్యప్‌,I-PER
కొరియా,B-ORG
ఓపెన్‌,I-ORG
ఆయన,B-PER
International Yoga Day,B-EVT
ఫాక్స్,B-ORG
కార్బన్ ఫైబర్,B-PROD
ఆయన,B-PER
ఈ,B-PER
పాటకు,I-PER
సంబందించిన,I-PER
టీజర్ని,I-PER
ప్రధాని,B-PER
నరేంద్ర,I-PER
మోడీ,I-PER
చలపతి,B-PER
అది,B-PER
2021జనవరి 31,B-EVT
ఇశ్రాయేలు,B-ORG
ప్రాథమిక,B-ORG
తెలుగు,I-ORG
మాధ్యమిక,I-ORG
పాఠశాలలు,I-ORG
ఎలా,B-PER
జిగురు,I-PER
గ్రౌట్,B-ORG
బస్టేషన్లు,B-ORG
రైల్వే,B-ORG
స్కూలు,B-LOC
ఆఫీసు,B-LOC
కోర్టుల్లో,B-LOC
మార్కెట్టు,B-LOC
పశ్చిమ,B-LOC
భూపేంద్ర,B-PER
కుమార్,I-PER
దత్త్,I-PER
రాజ్యాంగం,B-ORG
రాజ్యాంగ,B-ORG
పరిషత్తు,I-ORG
గంగూలీ,B-PER
ఆస్పత్రి,B-ORG
ఆయన,B-PER
పోలీసులు,B-ORG
కాబట్టి,B-PER
ట్రాన్స్మిషన్,B-PROD
డిజీల్,B-ORG
ఢిల్లీ,B-LOC
నేషనల్,B-ORG
కౌన్సిల్,I-ORG
1993,B-EVT
రాజ్‌నాథ్,B-PER
రాహుల్,B-PER
గాంధీ,I-PER
కార్యాలయం,B-ORG
షోరూమ్‌లు,B-ORG
జంతుశాల,B-PER
అధికారులు,I-PER
జాన్,B-PER
జంతుశాల,B-ORG
పోలీసులు,B-PER
అవాంచనీయ సంఘటనలు,B-EVT
ఆమె,B-PER
పోలీసులు,B-ORG
ఆత్మహత్య,B-EVT
మిక్కీ,B-PER
జె,I-PER
మేయర్,I-PER
తమన్,B-PER
కెసిఆర్,B-PER
రేణుకా,B-PER
చౌదరి,I-PER
కాంగ్రెస్,B-ORG
తెలంగాణ,B-ORG
హైద‌రాబాద్,B-LOC
మృతుల్లో,B-PER
ఎక్కడికీ,B-LOC
ఆయన,B-PER
నందమూరి,B-PER
మనందరి,B-PER
సునీల్,B-PER
అరోరా,I-PER
ప్రధాన,B-ORG
ఎన్నికల,I-ORG
కమిషనర్,I-ORG
ముఖ్య‌మైన,B-EVT
సరిగా,B-PER
ముంబై,B-LOC
లీటర్ పెట్రోల్,B-PROD
ముస్తాబై,B-PER
అరెస్ట్,B-PER
కేసు,B-EVT
ఆమె,B-PER
బీహార్,B-ORG
పోలీసులు,I-ORG
బీహార్,B-LOC
ప్రభుత్వ,B-ORG
యంత్రాంగం,I-ORG
నిన్న,B-PER
అన్-లాక్1,B-ORG
రాష్టాలు,B-LOC
కేంద్రపాలిత ప్రాంతాల,B-LOC
అనుభవాల,B-EVT
టేబుల్,B-PROD
రిలయన్స్,B-ORG
ఇండస్ట్రీస్,I-ORG
రిలయన్స్,B-ORG
రిటైల్,I-ORG
ముంబై,B-LOC
అమీర్,B-PER
ఖాన్,I-PER
ఇన్‌క్రెడిబుల్,B-ORG
ఇండియా,I-ORG
పోలీసులు,B-PER
పోలీసులు,B-ORG
ఘటన,B-EVT
దేవా,B-PER
సర్వ,B-PER
రక్షకుడా,I-PER
ఈ,B-PER
తన,I-PER
BJP,B-ORG
Haryana,B-LOC
వణికించింది,B-EVT
పోలీసులు,B-ORG
సెల్ ఫోన్,B-PROD
Memory,B-PROD
గోతబయ,B-PER
రాజపక్స,I-PER
ఇబ్రహిమ్‌,B-PER
మొహమ్మద్‌,I-PER
సోలిహ్,I-PER
కేపీ,B-PER
శర్మ,I-PER
ఓలి,I-PER
లోతయ్‌,B-PER
షెరింగ్,I-PER
షేక్‌,B-PER
హసీనా,I-PER
మోదీ,B-PER
శ్రీలంక,B-ORG
మాల్దీవుల,B-ORG
నేపాల్,B-ORG
భూటాన్,B-ORG
బంగ్లాదేశ్,B-ORG
అఫ్గానిస్తాన్,B-ORG
శ్రీలంక,B-LOC
మాల్దీవుల,B-LOC
నేపాల్,B-LOC
భూటాన్,B-LOC
బంగ్లాదేశ్,B-LOC
అఫ్గానిస్తాన్,B-LOC
Lib,B-ORG
పార్టెడ్ హెచ్చరిక,B-EVT
కమల్‌హాసన్‌,B-PER
రాజస్థాన్,B-ORG
క్రీడా,I-ORG
విశ్వవిద్యాలయం,I-ORG
రాజస్థాన్,B-LOC
