Entity,Type
જૈશ-એ-મોહમ્મદ,Person
તેમણે,Person
જૈશ-એ-મોહમ્મદ,Person
None,Person
હરિયાણા,Organization
હરિયાણા,Location
None,Event
None,Product
સાથોસાથ,Person
રાષ્ટ્રીય અધ્યક્ષ,Person
ભારતીય જનતા પાર્ટી,Organization
જનતા પાર્ટી,Organization
મોદી,Person
કોંગ્રેસ,Organization
માતા,Person
બહાર,Person
Brāḍ Piṭ,Person
કોંગ્રેસ,Person
અંદરખાને,Person
કોંગ્રેસ,Organization
પ્રધાનમંત્રી,Person
કોરોના,Organization
હોસ્પિટલ,Organization
પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદી,Person
રાષ્ટ્ર,Organization
તમે,Person
ઈશ્વર,Person
સિંક,Location
વાનગીઓ,Product
અહેડ,Person
મૃત્યુ,Event
ફ્લાઈટ,Organization
લંડન,Location
ફ્લાઈટ,Product
પંજાબ,Location
છત્તીસગઢ,Location
હાર્દિક પંડ્યા,Person
શિવમ દુબે,Person
વોશિંગટન,Location
Pakistan,Organization
WhatsApp,Organization
INSTANT WhatsApp,Organization
 ભારત,Location
INSTANT WhatsApp,Product
તેમણે,Person
યુએસ,Location
એક યુવક,Person
મહિલા,Person
ઢોર,Location
રોહિત શર્મા,Person
અંકિત સિંઘ,Person
વોટ્સએપ,Organization
વોટ્સએપ ફીચર્સ,Product
તેમ,Person
વ્યક્તિ,Person
Qualcomm,Organization
Snapdragon 855+,Product
Smartphone,Product
રાજ્ય શિક્ષણ વિભાગ,Organization
રમતગમત કચેરિઓ,Organization
રાજ્યો,Location
જિલ્લા,Location
રમત ગમત સ્પર્ધાઓ,Event
ભારત,Location
શ્રી પ્રકાશ જાવડેકર,Person
કેન્દ્રીય માહિતી અને પ્રસારણ,Organization
નવી દિલ્હી,Location
એમજી મોટર્સ,Organization
મતદાન,Event
ઈસરો,Organization
ભારત,Organization
ટ્વીટ,Event
ચંદ્રયાન-2,Product
ુમેરાયેલ,Person
બીટ,Product
પોલીસ,Organization
પોલીસ એક્શન,Event
રોયલ એશિયાટિક સોસાયટી,Organization
બોમ્બે,Location
શ્રદ્ધા,Person
નેહા,Person
રોહન,Person
લગ્ન,Event
બોલિવૂડ સેલેબ્સની,Person
,Person
,Organization
 પ્રેક્ટિસ ,Location
સંગઠિત,Organization
ગ્રાહક- ગ્રાહક,Organization
પ્રી-ઓન્ડ કાર,Product
તે જગ્યાએ,Location
સાક્ષીઓ,Person
મને,Person
ચેન્નાઈ,Person
ઈન્ટ્રિગલ કોચ ફેક્ટર,Organization
ચેન્નાઈ,Location
शाहशाह कान,Person
केट्रिना कैफ,Person
रणबीर कापर,Person
आलिया भट्ट,Person
सारा अली खान,Person
अनिल कपूर,Person
झानवी कापर,Person
विक्की कउशल,Person
परिनीती चोप्रा,Person
रणवीर सिंह,Person
अक्षय कुमार,Person
आयुष्मान खुराना,Person
कार्तिक आरйन,Person
शाहशाह,Person
અમને,Person
સભ્યો,Organization
સ્કાઇપે,Organization
આપણ,Person
નીતીશકુમાર,Person
ડૉકટરો,Person
આરોગ્ય વિભાગ,Organization
જિલ્લા અધિકારીઓ,Organization
 આનો ઉકેલ,Person
ઇપ્પલ,Organization
મુંબઈ,Location
ચેન્નાઈ,Location
આઈપ્પલ ટાઈટલ,Event
મકાઈ,Product
સગીરા,Person
રાહુલ ગાંધી,Person
કોંગ્રેસ,Organization
ઈફ્તાર પાર્ટી,Event
ભાજપ,Person
તૃણમુલ,Person
ભાજપ,Organization
કોંગ્રેસ,Organization
હિંસક ઝડપની ઘટનાઓ,Event
ભારત,Location
કેન્દ્ર સરકાર,Organization
ગોદરેજ ગ્રુપ,Organization
મુંબઈ,Location
વિક્રોલી,Location
અમદાવાદ,Location
બુલેટ ટ્રેન પ્રોજેક્ટ,Event
આપણે,Person
ઈસ્રાએલી,Person
પ્રેગનન્સી,Person
Internal Memory,Product
રાષ્ટ્રપતિ,Person
ગુજરાત યુનિવર્સિટી,Organization
ફારૂન,Person
સુરક્ષાકર્મીઓ,Person
વિસ્તાર,Location
તપાસ,Event
ઈશ્વર,Person
બાઇબલ લેખકો,Organization
બાઇબલ,Product
અંકુશ,Person
શહેરની બસ,Organization
શહેર,Location
બસ,Product
મૂકેશ અંબાણી,Person
રિલાયન્સ ઇન્ડસ્ટ્રીઝ,Organization
ફોર્બ્સ ઇન્ડિયા,Organization
વિશ્વ,Location
તારાજી,Event
કોરોના વાયરસ,Product
પરિવાર,Person
પોલીસ મથક,Organization
ગુમ,Event
લોકો,Person
લગાવ,Event
યહોવાહ,Organization
વ્યક્તિ,Person
Salman,Person
Sonam,Person
દીપિકા,Person
ફિલ્મ,Event
સીસીએસ,Organization
લોકસભા,Organization
વિધાનસભા,Organization
દેશ,Location
ચૂંટણીઓ,Event
,Person
YouTube,Organization
પોલીસ,Person
મામલતદાર,Person
ફાયર બ્રિગેડ,Organization
ઘટના સ્થળે,Location
ઘટના,Event
પેટ્રોલ,Product
ડીઝલ,Product
ભારત,Organization
મેચ,Event
યહોવાહ,Person
તેને,Organization
આરુનાચલમ મુરુગનાથમ,Person
પવિત્ર શ્રાવણ,Event
નદીઓ,Location
પ્રધાનમંત્રી નરેન્દ્ર મોદી,Person
ડોનાલ્ડ ટ્રમ્પ,Person
એસિડિટી,Product
BCG,Organization
ટ્યુબેકોલોસીસ (TB),Product
BCG,Product
બંને પ્રધાનમંત્રીઓ,Person
વીડિયો કોન્ફરન્સ,Event
સુમન રાવ,Person
ગુજરાત ATS,Organization
ઘર,Location
વિદેશી કંપનીઓ,Organization
દક્ષિણ મુંબઈ,Location
કપડાં,Product
હીરા,Product
જ્વેલરી,Product
ફાર્માસ્યુટિકલ,Product
ઇલેક્ટ્રૉનિક્સ,Product
જોકે,Person
ઇતિહાસ,Event
યહોવાહે,Person
શેતાન,Person
Bond,Organization
Funds,Product
પતિ,Person
ગ્રામજનો,Product
તેઓ,Person
મહિષાસુર,Person
મા,Person
દુર્ગા,Person
દુર્ગાપૂજા,Event
તેણે,Person
એક અભ્યાસ,Organization
દાવો કરવામાં,Event
પ્રશાંત પટેલ,Person
શ્રીગણેશ,Person
કોંગ્રેસ,Organization
વડોદરા,Location
પ્રચાર,Event
એનાથી,Organization
યહોવાહ,Person
શાહરુખ ખાન,Person
ભારતીય સિનેમા,Organization
लા ટ્રોબ યુનિવર્સિટી,Organization
અસ્ટ્રેલિયા,Location
મેલબર્ન,Location
ગ્રીન ટ્રેન,Organization
ધોધમાર,Location
વરસાદ,Event
Terriers,Product
દિલિપ વેંગસ્કર,Person
લોર્ડ્સ,Organization
1986,Event
ઓફિસ,Organization
યહોવાહ,Person
ધરપકડ,Event
જોકે,Person
બીજેપી,Organization
જર્મની,Location
સેનાધ્યક્ષ બિપિન રાવત,Person
LoC,Location
લસણ,Product
રોહિત શર્મા,Person
ભારત,Organization
નવી દિલ્હી,Location
આંબળા જ્યુસ,Product
હિન્દુસ્તાન,Location
નરેન્દ્ર મોદી,Person
મમતા બેનર્જી,Person
Euromaster,Organization
Masterrcard,Organization
Vizah,Organization
Master,Organization
Eurocard,Product
MasterCard,Product
પરિવારજનો,Person
બોક્સ,Organization
ઉત્તર,Location
પૂર્વ ભારત,Location
ફિલ્મ,Event
ઘોડાપૂર,Location
આ રીતે,Event
તે,Person
