Word,Tag
शरद,B-PER
पवार,I-PER
प्रफुल्ल,B-PER
पटेल,I-PER
अजित,B-PER
पवार,I-PER
छगन,B-PER
भुजबळ,I-PER
मधुकरराव,B-PER
पिचड,I-PER
आर.,B-PER
आर.,I-PER
पाटील,I-PER
सुनिल,B-PER
तटकरे,I-PER
भास्कर,B-PER
जाधव,I-PER
जितेंद्र,B-PER
आव्हाड,I-PER
कंवलसिंग,B-PER
चौहान,I-PER
प्रगतीशील,B-ORG
शेतकरी,I-ORG
संघटना,I-ORG
सेनीपत,B-LOC
त्यांचा,B-PER
भारत,B-ORG
भारत,B-LOC
मृत्यू,B-EVT
छायाचित्रकार,B-PER
राज्य,B-LOC
राष्ट्रीय पातळ,B-LOC
पीडित,B-PER
व्यक्ती,I-PER
दलित,B-ORG
समाज,I-ORG
घटनांत,B-EVT
काँग्रेस,B-ORG
धक्का,B-EVT
नितीन,B-PER
गडकरी,I-PER
एमएसएमई,B-ORG
केंद्र,B-ORG
सरकार,I-ORG
मालवाहू ठिकाण,B-LOC
रॅक्स,B-PROD
सिंधू,B-PER
समीर,B-PER
ऑस्ट्रेलियन,B-ORG
ओपन,I-ORG
ऑस्ट्रेलियन ओपन,B-EVT
मला,B-PER
माझ्या,B-PER
समुपदेशकांची,I-PER
नैराश्याचा सामना,B-EVT
आठवले,B-PER
त्याच,B-PER
न्यायालय,B-ORG
पोलिस,B-ORG
मार्गावार,B-LOC
विसर्जन मिरवणूक,B-EVT
सर्व,B-PER
जण,I-PER
काम,B-EVT
जामीनावर,B-LOC
इमारत,B-LOC
खिडक्यांच्या काचा,B-PROD
आणखी,B-LOC
न्यूझीलंड,B-ORG
ती,B-LOC
शिक्षक,B-PER
डॉक्टर,B-PER
बुलडाणा जिल्ह्या,B-LOC
खामगाव,B-LOC
व्यक्ती,B-PER
डॉक्टरांनी,B-PER
तपासणी,B-EVT
तर,B-PER
जण,B-PER
पोलीस,B-ORG
रेस्क्यू,B-ORG
टीम,I-ORG
घटनास्थळी,B-LOC
आणि,B-EVT
शहरात,B-LOC
डेंग्यूचाही,B-EVT
पवार,B-PER
पत्रकार,B-ORG
परिषद,I-ORG
विधानभवन,B-ORG
येथे,B-LOC
यहोवा,B-PER
निर्ग,B-LOC
नात्सी,B-PER
यहोवा,B-PER
छळ छावण्यां,B-LOC
तात्काळ,B-PER
पोलिसांनी,B-ORG
रुग्णालय,B-LOC
तात्काळ स्थानिक,B-LOC
एएनआय,B-ORG
या भागात,B-LOC
चकमक सुरू,B-EVT
पोलис,B-ORG
प्रश्न,B-EVT
शैलजा,B-PER
मोरे,I-PER
भाजप,B-ORG
मात्र,B-PER
पंतप्रधान,B-PER
मोदी,I-PER
विराट,B-PER
कोहली,I-PER
टीम,B-ORG
इंडिया,I-ORG
रॅंकिंग,B-EVT
आले-लसणाची पेस्ट,B-PROD
कंपनी,B-ORG
गडहिंग्लज,B-LOC
चंदगड,B-LOC
एइनापूर,B-LOC
त्याच्या,B-PER
युद्धाला,B-EVT
याप्रकरणी,B-ORG
सहकार,B-ORG
पोलीस,B-ORG
ठाण्यात,B-ORG
सहकारनगर,B-LOC
ठाण्यात,B-LOC
देव,B-PER
राज्य,B-ORG
द्रौपदी,B-PER
मुरमू,I-PER
जयंत,B-PER
सिन्हा,I-PER
रघुवर,B-PER
दास,I-PER
झारखंड,B-LOC
देव,B-PER
ब्रायन,B-PER
लारा,I-PER
रिचर्डस्,B-PER
कोहली,B-PER
सैफखेरीज,B-PER
सोनाक्षी,B-PER
सिन्हा,I-PER
तरीसुद्धा,B-PER
सार्वभौम,B-ORG
महमद,B-PER
नाशीद,I-PER
मालदीव,B-ORG
भारत,B-LOC
मालदीव,B-LOC
जण,B-PER
जिल्ह,B-LOC
मृत्यू,B-EVT
स्वाईन फ्लून,B-PROD
मला,B-PER
समुद्र,B-LOC
हा,B-ORG
नियम,I-ORG
गाव,B-LOC
मुंबई,B-LOC
लंडन,B-LOC
 कार्यशाळा,B-EVT
 व्याख्यान,B-EVT
चंकी,B-PER
पांडेक,I-PER
अनन्या,B-PER
पांडे,I-PER
तारा,B-PER
सुतारिया,I-PER
अंकिता,B-PER
राकीमोव्हा,B-PER
अनास्थाशिया,B-PER
पोटापोव्हा,I-PER
ऍना,B-PER
ब्लिन्कोव्हा,I-PER
रशिय,B-LOC
देश,B-LOC
कोकण,B-LOC
गोव्यात,B-LOC
मध्य महाराष्ट्रात,B-LOC
मराठवाड्यात,B-LOC
विदर्भात,B-LOC
पाऊस,B-EVT
सिरिल,B-PER
मेथोडियस,B-PER
रोम,B-LOC
कोल्हापूर,B-LOC
सांगली,B-LOC
एडिसन,B-PER
टरबूज,B-PROD
काकडी,B-PROD
कलिंगड,B-PROD
आहार,B-PROD
देश,B-LOC
लॉकडाऊन,B-EVT
कोरोना व्हायरस,B-PROD
हा,B-PER
सोशल,B-ORG
मीडिया,I-ORG
तुफान,B-EVT
आप्न,B-PER
नarendra,B-PER
modi,I-PER
भाजपा,B-ORG
आव्हाने,B-EVT
भूकंप,B-EVT
भूकंप मापन यंत्र,B-PROD
स्टुडिओमधल्या,B-PER
एका,I-PER
एक्स्ट्रा,I-PER
