Word,Tag
જૈશ-એ-મોહમ્મદ,B-PER
તેમણે,B-PER
જૈશ-એ-મોહમ્મદ,B-PER
હરિયાણા,B-ORG
હરિયાણા,B-LOC
સાથોસાથ,B-PER
રાષ્ટ્રીય,B-PER
અધ્યક્ષ,I-PER
ભારતીય,B-ORG
જનતા,I-ORG
પાર્ટી,I-ORG
જનતા,B-ORG
પાર્ટી,I-ORG
મોદી,B-PER
કોંગ્રેસ,B-ORG
માતા,B-PER
બહાર,B-PER
Brāḍ,B-PER
Piṭ,I-PER
કોંગ્રેસ,B-PER
અંદરખાને,B-PER
કોંગ્રેસ,B-ORG
પ્રધાનમંત્રી,B-PER
કોરોના,B-ORG
હોસ્પિટલ,B-ORG
પ્રધાનમંત્રી,B-PER
શ્રી,I-PER
નરેન્દ્ર,I-PER
મોદી,I-PER
રાષ્ટ્ર,B-ORG
તમે,B-PER
ઈશ્વર,B-PER
સિંક,B-LOC
વાનગીઓ,B-PROD
અહેડ,B-PER
મૃત્યુ,B-EVT
ફ્લાઈટ,B-ORG
લંડન,B-LOC
ફ્લાઈટ,B-PROD
પંજાબ,B-LOC
છત્તીસગઢ,B-LOC
હાર્દિક,B-PER
પંડ્યા,I-PER
શિવમ,B-PER
દુબે,I-PER
વોશિંગટન,B-LOC
Pakistan,B-ORG
WhatsApp,B-ORG
INSTANT,B-ORG
WhatsApp,I-ORG
 ભારત,B-LOC
INSTANT WhatsApp,B-PROD
તેમણે,B-PER
યુએસ,B-LOC
એક,B-PER
યુવક,I-PER
મહિલા,B-PER
ઢોર,B-LOC
રોહિત,B-PER
શર્મા,I-PER
અંકિત,B-PER
સિંઘ,I-PER
વોટ્સએપ,B-ORG
વોટ્સએપ ફીચર્સ,B-PROD
તેમ,B-PER
વ્યક્તિ,B-PER
Qualcomm,B-ORG
Snapdragon 855+,B-PROD
Smartphone,B-PROD
રાજ્ય,B-ORG
શિક્ષણ,I-ORG
વિભાગ,I-ORG
રમતગમત,B-ORG
કચેરિઓ,I-ORG
રાજ્યો,B-LOC
જિલ્લા,B-LOC
રમત ગમત સ્પર્ધાઓ,B-EVT
ભારત,B-LOC
શ્રી,B-PER
પ્રકાશ,I-PER
જાવડેકર,I-PER
કેન્દ્રીય,B-ORG
માહિતી,I-ORG
અને,I-ORG
પ્રસારણ,I-ORG
નવી દિલ્હી,B-LOC
એમજી,B-ORG
મોટર્સ,I-ORG
મતદાન,B-EVT
ઈસરો,B-ORG
ભારત,B-ORG
ટ્વીટ,B-EVT
ચંદ્રયાન-2,B-PROD
ુમેરાયેલ,B-PER
બીટ,B-PROD
પોલીસ,B-ORG
પોલીસ એક્શન,B-EVT
રોયલ,B-ORG
એશિયાટિક,I-ORG
સોસાયટી,I-ORG
બોમ્બે,B-LOC
શ્રદ્ધા,B-PER
નેહા,B-PER
રોહન,B-PER
લગ્ન,B-EVT
બોલિવૂડ,B-PER
સેલેબ્સની,I-PER
 પ્રેક્ટિસ ,B-LOC
સંગઠિત,B-ORG
ગ્રાહક-,B-ORG
ગ્રાહક,I-ORG
પ્રી-ઓન્ડ કાર,B-PROD
તે જગ્યાએ,B-LOC
સાક્ષીઓ,B-PER
મને,B-PER
ચેન્નાઈ,B-PER
ઈન્ટ્રિગલ,B-ORG
કોચ,I-ORG
ફેક્ટર,I-ORG
ચેન્નાઈ,B-LOC
शाहशाह,B-PER
कान,I-PER
केट्रिना,B-PER
कैफ,I-PER
रणबीर,B-PER
कापर,I-PER
आलिया,B-PER
भट्ट,I-PER
सारा,B-PER
अली,I-PER
खान,I-PER
अनिल,B-PER
कपूर,I-PER
झानवी,B-PER
कापर,I-PER
विक्की,B-PER
कउशल,I-PER
परिनीती,B-PER
चोप्रा,I-PER
रणवीर,B-PER
सिंह,I-PER
अक्षय,B-PER
कुमार,I-PER
आयुष्मान,B-PER
खुराना,I-PER
कार्तिक,B-PER
आरйन,I-PER
शाहशाह,B-PER
અમને,B-PER
સભ્યો,B-ORG
સ્કાઇપે,B-ORG
આપણ,B-PER
નીતીશકુમાર,B-PER
ડૉકટરો,B-PER
આરોગ્ય,B-ORG
વિભાગ,I-ORG
જિલ્લા,B-ORG
અધિકારીઓ,I-ORG
આનો,B-PER
ઉકેલ,I-PER
ઇપ્પલ,B-ORG
મુંબઈ,B-LOC
ચેન્નાઈ,B-LOC
આઈપ્પલ ટાઈટલ,B-EVT
મકાઈ,B-PROD
સગીરા,B-PER
રાહુલ,B-PER
ગાંધી,I-PER
કોંગ્રેસ,B-ORG
ઈફ્તાર પાર્ટી,B-EVT
ભાજપ,B-PER
તૃણમુલ,B-PER
ભાજપ,B-ORG
કોંગ્રેસ,B-ORG
હિંસક ઝડપની ઘટનાઓ,B-EVT
ભારત,B-LOC
કેન્દ્ર,B-ORG
સરકાર,I-ORG
ગોદરેજ,B-ORG
ગ્રુપ,I-ORG
મુંબઈ,B-LOC
વિક્રોલી,B-LOC
અમદાવાદ,B-LOC
બુલેટ ટ્રેન પ્રોજેક્ટ,B-EVT
આપણે,B-PER
ઈસ્રાએલી,B-PER
પ્રેગનન્સી,B-PER
Internal Memory,B-PROD
રાષ્ટ્રપતિ,B-PER
ગુજરાત,B-ORG
યુનિવર્સિટી,I-ORG
ફારૂન,B-PER
સુરક્ષાકર્મીઓ,B-PER
વિસ્તાર,B-LOC
તપાસ,B-EVT
ઈશ્વર,B-PER
બાઇબલ,B-ORG
લેખકો,I-ORG
બાઇબલ,B-PROD
અંકુશ,B-PER
શહેરની,B-ORG
બસ,I-ORG
શહેર,B-LOC
બસ,B-PROD
મૂકેશ,B-PER
અંબાણી,I-PER
રિલાયન્સ,B-ORG
ઇન્ડસ્ટ્રીઝ,I-ORG
ફોર્બ્સ,B-ORG
ઇન્ડિયા,I-ORG
વિશ્વ,B-LOC
તારાજી,B-EVT
કોરોના વાયરસ,B-PROD
પરિવાર,B-PER
પોલીસ,B-ORG
મથક,I-ORG
ગુમ,B-EVT
લોકો,B-PER
લગાવ,B-EVT
યહોવાહ,B-ORG
વ્યક્તિ,B-PER
Salman,B-PER
Sonam,B-PER
દીપિકા,B-PER
ફિલ્મ,B-EVT
સીસીએસ,B-ORG
લોકસભા,B-ORG
વિધાનસભા,B-ORG
દેશ,B-LOC
ચૂંટણીઓ,B-EVT
YouTube,B-ORG
પોલીસ,B-PER
મામલતદાર,B-PER
ફાયર,B-ORG
બ્રિગેડ,I-ORG
ઘટના સ્થળે,B-LOC
ઘટના,B-EVT
પેટ્રોલ,B-PROD
ડીઝલ,B-PROD
ભારત,B-ORG
મેચ,B-EVT
યહોવાહ,B-PER
તેને,B-ORG
આરુનાચલમ,B-PER
મુરુગનાથમ,I-PER
પવિત્ર શ્રાવણ,B-EVT
નદીઓ,B-LOC
પ્રધાનમંત્રી,B-PER
નરેન્દ્ર,I-PER
